fixture_id,gameweek,home_team,away_team,home_goals,away_goals,status,result_available_at
1,1,Arsenal,Coventry City,2,0,FINISHED,2026-08-21T21:00:00Z
4,1,Hull City,Man Utd,0,2,FINISHED,2026-08-22T13:30:00Z
3,1,Everton,Crystal Palace,1,1,FINISHED,2026-08-22T16:00:00Z
5,1,Ipswich Town,Sunderland,1,0,FINISHED,2026-08-22T16:00:00Z
6,1,Nott'm Forest,Leeds,1,1,FINISHED,2026-08-22T16:00:00Z
2,1,Brentford,Spurs,1,2,FINISHED,2026-08-22T18:30:00Z
7,1,Brighton,Aston Villa,2,1,FINISHED,2026-08-23T15:00:00Z
8,1,Man City,Bournemouth,3,0,FINISHED,2026-08-23T15:00:00Z
9,1,Newcastle,Liverpool,1,2,FINISHED,2026-08-23T17:30:00Z
10,1,Fulham,Chelsea,1,1,FINISHED,2026-08-24T21:00:00Z
