team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,rank
Man City,1,1,0,0,3,0,3,3,1
Arsenal,1,1,0,0,2,0,2,3,2
Man Utd,1,1,0,0,2,0,2,3,3
Brighton,1,1,0,0,2,1,1,3,4
Liverpool,1,1,0,0,2,1,1,3,5
Spurs,1,1,0,0,2,1,1,3,6
Ipswich Town,1,1,0,0,1,0,1,3,7
Chelsea,1,0,1,0,1,1,0,1,8
Crystal Palace,1,0,1,0,1,1,0,1,9
Everton,1,0,1,0,1,1,0,1,10
Fulham,1,0,1,0,1,1,0,1,11
Leeds,1,0,1,0,1,1,0,1,12
Nott'm Forest,1,0,1,0,1,1,0,1,13
Aston Villa,1,0,0,1,1,2,-1,0,14
Brentford,1,0,0,1,1,2,-1,0,15
Newcastle,1,0,0,1,1,2,-1,0,16
Sunderland,1,0,0,1,0,1,-1,0,17
Coventry City,1,0,0,1,0,2,-2,0,18
Hull City,1,0,0,1,0,2,-2,0,19
Bournemouth,1,0,0,1,0,3,-3,0,20
