team,preseason_title_pct,current_title_pct,delta_title_pp,current_exp_points,current_exp_position,top4_pct,top6_pct,relegation_pct
Man City,45.0,45.22,0.22,82.1,1.87,98.39,99.83,0.0
Arsenal,37.5,34.84,-2.66,80.7,2.08,97.58,99.81,0.0
Liverpool,15.53,18.59,3.06,77.4,2.63,93.71,99.06,0.0
Chelsea,0.94,0.69,-0.25,63.9,5.7,34.54,69.92,0.01
Spurs,0.25,0.27,0.02,62.2,6.25,25.8,61.0,0.0
Newcastle,0.5,0.21,-0.29,60.4,6.8,18.72,51.67,0.03
Aston Villa,0.17,0.09,-0.08,57.8,7.71,10.9,36.71,0.16
Man Utd,0.09,0.05,-0.04,58.5,7.47,12.76,40.72,0.04
Brighton,0.02,0.04,0.02,54.1,9.18,4.37,19.37,0.43
Fulham,0.0,0.0,0.0,49.0,11.23,1.06,6.52,2.35
Bournemouth,0.0,0.0,0.0,47.9,11.74,0.8,5.01,3.68
Crystal Palace,0.0,0.0,0.0,47.2,11.97,0.65,4.32,4.16
Brentford,0.0,0.0,0.0,46.4,12.36,0.37,3.12,4.99
Everton,0.0,0.0,0.0,43.9,13.42,0.22,1.56,8.98
Nott'm Forest,0.0,0.0,0.0,42.0,14.22,0.07,0.83,13.94
Leeds,0.0,0.0,0.0,38.8,15.5,0.05,0.39,26.37
Ipswich Town,0.0,0.0,0.0,37.8,15.91,0.01,0.11,30.76
Sunderland,0.0,0.0,0.0,33.2,17.49,0.0,0.03,58.4
Coventry City,0.0,0.0,0.0,32.1,17.84,0.0,0.01,65.46
Hull City,0.0,0.0,0.0,29.0,18.67,0.0,0.01,80.24
