fixture_id,gameweek,home_team,away_team,p_home,p_draw,p_away,home_xg,away_xg
1,1,Arsenal,Coventry City,0.8503,0.1128,0.0369,2.97,0.55
4,1,Hull City,Man Utd,0.1948,0.2535,0.5516,1.01,1.82
3,1,Everton,Crystal Palace,0.3972,0.2954,0.3074,1.36,1.17
5,1,Ipswich Town,Sunderland,0.4535,0.2816,0.2649,1.54,1.13
6,1,Nott'm Forest,Leeds,0.4648,0.2846,0.2506,1.52,1.06
2,1,Brentford,Spurs,0.3176,0.2839,0.3985,1.27,1.45
7,1,Brighton,Aston Villa,0.3739,0.2836,0.3425,1.4,1.34
8,1,Man City,Bournemouth,0.7458,0.1727,0.0816,2.46,0.73
9,1,Newcastle,Liverpool,0.3031,0.2816,0.4154,1.25,1.49
10,1,Fulham,Chelsea,0.2999,0.2821,0.418,1.23,1.49
11,2,Crystal Palace,Man City,0.1585,0.2426,0.5989,0.89,1.9
14,2,Liverpool,Nott'm Forest,0.7333,0.1814,0.0854,2.36,0.71
12,2,Bournemouth,Everton,0.4652,0.2809,0.2539,1.55,1.09
13,2,Coventry City,Hull City,0.4575,0.2801,0.2624,1.55,1.13
15,2,Spurs,Newcastle,0.427,0.2779,0.2951,1.54,1.25
16,2,Chelsea,Brighton,0.5492,0.2537,0.1972,1.82,1.02
17,2,Leeds,Brentford,0.3482,0.2914,0.3604,1.3,1.32
19,2,Sunderland,Fulham,0.2931,0.2847,0.4222,1.2,1.48
18,2,Man Utd,Ipswich Town,0.6352,0.2246,0.1402,2.05,0.88
20,2,Aston Villa,Arsenal,0.2386,0.2749,0.4865,1.07,1.62
21,3,Ipswich Town,Liverpool,0.1295,0.2184,0.6521,0.84,2.1
27,3,Newcastle,Bournemouth,0.5626,0.2495,0.1879,1.86,1.0
22,3,Brentford,Sunderland,0.5636,0.2528,0.1836,1.82,0.96
23,3,Brighton,Leeds,0.5636,0.2528,0.1836,1.82,0.96
24,3,Fulham,Crystal Palace,0.4456,0.2844,0.27,1.51,1.13
26,3,Man City,Coventry City,0.8605,0.105,0.0345,3.1,0.56
28,3,Nott'm Forest,Spurs,0.2758,0.2837,0.4404,1.15,1.51
25,3,Hull City,Aston Villa,0.1834,0.2473,0.5693,0.99,1.88
30,3,Everton,Man Utd,0.3157,0.289,0.3953,1.23,1.4
29,3,Arsenal,Chelsea,0.5944,0.2432,0.1624,1.9,0.9
31,4,Aston Villa,Nott'm Forest,0.5857,0.2458,0.1686,1.88,0.92
32,4,Bournemouth,Brentford,0.4391,0.2816,0.2792,1.52,1.17
33,4,Chelsea,Hull City,0.763,0.1624,0.0746,2.56,0.72
34,4,Crystal Palace,Ipswich Town,0.5359,0.2646,0.1995,1.72,0.97
35,4,Liverpool,Fulham,0.6854,0.2025,0.1121,2.23,0.81
37,4,Spurs,Everton,0.5834,0.246,0.1706,1.88,0.93
36,4,Sunderland,Arsenal,0.0939,0.1922,0.7138,0.73,2.27
38,4,Coventry City,Brighton,0.2492,0.276,0.4747,1.11,1.6
39,4,Man Utd,Man City,0.2213,0.2649,0.5138,1.06,1.72
40,4,Leeds,Newcastle,0.2363,0.2715,0.4921,1.08,1.65
41,5,Brentford,Chelsea,0.2853,0.2809,0.4338,1.2,1.52
48,5,Spurs,Aston Villa,0.451,0.2737,0.2752,1.6,1.21
42,5,Brighton,Arsenal,0.1926,0.2607,0.5467,0.96,1.75
43,5,Everton,Ipswich Town,0.5055,0.2738,0.2207,1.63,1.01
44,5,Leeds,Crystal Palace,0.3465,0.2949,0.3586,1.27,1.3
45,5,Man City,Sunderland,0.8471,0.1136,0.0393,3.0,0.58
46,5,Newcastle,Hull City,0.7408,0.1743,0.085,2.46,0.75
47,5,Nott'm Forest,Coventry City,0.5341,0.2664,0.1994,1.7,0.96
49,5,Bournemouth,Liverpool,0.2019,0.2575,0.5407,1.02,1.79
50,5,Fulham,Man Utd,0.3604,0.2855,0.3541,1.36,1.35
