team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18,pos_19,pos_20
Man City,45.0,31.59,17.03,4.37,1.32,0.5,0.14,0.03,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arsenal,37.5,34.04,19.76,5.97,1.76,0.6,0.24,0.1,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liverpool,15.53,26.19,36.0,13.13,5.08,2.17,1.17,0.48,0.16,0.07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chelsea,0.94,3.61,9.95,24.0,19.28,14.25,10.8,6.91,4.22,2.62,1.49,0.92,0.53,0.23,0.13,0.08,0.04,0.0,0.0,0.0
Newcastle,0.5,1.84,5.89,15.25,17.7,17.1,12.74,9.48,7.19,4.65,3.31,2.05,0.98,0.77,0.35,0.14,0.04,0.01,0.01,0.0
Spurs,0.25,1.18,4.4,13.94,16.71,15.3,14.33,11.09,8.01,5.64,3.81,2.26,1.44,0.85,0.39,0.28,0.11,0.0,0.01,0.0
Aston Villa,0.17,0.82,3.61,10.36,14.09,15.18,14.5,12.13,9.49,7.0,4.49,3.25,2.1,1.39,0.8,0.41,0.13,0.06,0.02,0.0
Man Utd,0.09,0.58,2.2,7.34,11.08,13.54,13.44,13.26,10.85,8.9,6.35,4.61,3.44,2.0,1.2,0.61,0.29,0.16,0.05,0.01
Brighton,0.02,0.08,0.61,2.35,4.65,6.96,9.06,11.64,12.33,11.64,10.41,9.11,7.44,5.42,3.65,2.44,1.29,0.57,0.25,0.08
Fulham,0.0,0.04,0.19,0.91,2.27,3.73,5.66,8.53,10.1,11.51,11.42,11.5,9.89,8.12,6.32,4.5,2.82,1.45,0.81,0.23
Bournemouth,0.0,0.01,0.15,0.85,1.83,2.91,4.71,6.84,8.84,10.56,11.37,11.7,10.96,9.33,7.4,5.51,3.6,2.04,0.98,0.41
Crystal Palace,0.0,0.02,0.08,0.6,1.52,2.88,4.53,5.87,8.23,10.39,11.15,11.57,10.88,9.63,8.3,6.07,4.05,2.51,1.34,0.38
Brentford,0.0,0.0,0.07,0.58,1.55,2.59,4.27,6.16,8.12,9.93,11.04,11.51,11.38,10.0,8.02,6.36,4.18,2.43,1.35,0.46
Everton,0.0,0.0,0.03,0.21,0.55,1.15,2.38,3.6,5.04,6.92,8.85,10.08,11.56,12.38,11.5,9.78,7.28,4.98,2.75,0.96
Nott'm Forest,0.0,0.0,0.03,0.1,0.48,0.87,1.34,2.57,4.29,5.12,7.85,8.82,10.53,12.2,12.56,11.14,9.3,6.51,4.26,2.03
Leeds,0.0,0.0,0.0,0.03,0.04,0.13,0.37,0.71,1.6,2.25,3.83,5.47,7.64,9.66,12.29,14.47,14.59,12.66,9.06,5.2
Ipswich Town,0.0,0.0,0.0,0.01,0.05,0.06,0.19,0.28,0.87,1.56,2.36,3.49,4.95,7.41,10.8,13.34,15.35,15.98,13.61,9.69
Sunderland,0.0,0.0,0.0,0.0,0.03,0.08,0.1,0.21,0.34,0.74,1.36,1.87,3.24,5.49,7.56,10.68,15.07,18.4,19.14,15.69
Coventry City,0.0,0.0,0.0,0.0,0.01,0.0,0.02,0.07,0.21,0.39,0.64,1.17,2.05,3.28,5.49,8.34,12.97,17.42,22.65,25.29
Hull City,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.07,0.11,0.27,0.6,0.98,1.84,3.24,5.85,8.89,14.82,23.71,39.57
