player_id,name,web_name,club,position,price,p_start,expected_minutes,mean_xp,median_points,p_6plus,p_10plus,p_15plus,p_20plus,goal_prob,assist_prob,cs_prob,defcon_pts,set_piece_role,penalty_role,gw1_actual_pts,value_metric,rank
154,Cole Palmer,Palmer,Chelsea,MID,9.5,0.95,80.75,8.66,9,0.85,0.75,0.3,0.11,0.69,0.5,0.0,0.35,PRIMARY,PRIMARY,13,0.91,1
115,Maxim De Cuyper,De Cuyper,Brighton,DEF,4.6,0.95,80.75,8.59,9,0.85,0.75,0.3,0.11,0.04,0.5,0.28,0.85,PRIMARY,NONE,17,1.87,2
123,Jack Hinshelwood,Hinshelwood,Brighton,MID,6.0,0.95,80.75,8.55,9,0.85,0.75,0.3,0.11,0.68,0.5,0.0,0.35,SECONDARY,NONE,16,1.43,3
12,Bukayo Saka,Saka,Arsenal,MID,9.5,0.95,80.75,7.71,8,0.78,0.67,0.27,0.1,0.62,0.46,0.0,0.35,PRIMARY,PRIMARY,9,0.81,4
411,Erling Haaland,Haaland,Man City,FWD,15.5,0.95,80.75,6.52,7,0.63,0.55,0.22,0.08,0.52,0.03,0.0,0.35,NONE,PRIMARY,2,0.42,5
391,Joško Gvardiol,Gvardiol,Man City,DEF,5.5,0.95,80.75,6.24,6,0.59,0.52,0.21,0.08,0.04,0.37,0.42,0.85,NONE,NONE,9,1.13,6
565,Mamadou Sangaré,M.Sangaré,Brentford,MID,5.6,0.95,80.75,5.75,6,0.53,0.47,0.19,0.07,0.46,0.34,0.0,0.35,SECONDARY,NONE,14,1.03,7
367,Cody Gakpo,Gakpo,Liverpool,MID,7.0,0.95,80.75,5.74,6,0.53,0.47,0.19,0.07,0.46,0.34,0.0,0.35,SECONDARY,NONE,12,0.82,8
335,Anton Stach,Stach,Leeds,MID,6.0,0.95,80.75,5.64,6,0.52,0.46,0.18,0.07,0.45,0.34,0.0,0.35,SECONDARY,NONE,13,0.94,9
185,Tatsuhiro Sakamoto,Sakamoto,Coventry City,MID,5.0,0.95,80.75,5.58,6,0.51,0.46,0.18,0.07,0.45,0.33,0.0,0.35,PRIMARY,PRIMARY,0,1.12,10
165,João Pedro Junqueira de Jesus,João Pedro,Chelsea,FWD,7.6,0.95,80.75,5.51,6,0.5,0.45,0.18,0.07,0.44,0.03,0.0,0.35,NONE,NONE,11,0.72,11
301,Alex Palmer,Palmer,Ipswich Town,GK,4.0,0.95,80.75,5.38,5,0.48,0.44,0.18,0.07,0.04,0.03,0.28,0.35,PRIMARY,PRIMARY,0,1.34,12
15,Martin Ødegaard,Ødegaard,Arsenal,MID,6.6,0.95,80.75,5.37,5,0.48,0.44,0.18,0.07,0.43,0.32,0.0,0.35,SECONDARY,NONE,11,0.81,13
236,Kiernan Dewsbury-Hall,Dewsbury-Hall,Everton,MID,6.5,0.95,80.75,5.34,5,0.48,0.43,0.17,0.06,0.43,0.32,0.0,0.35,SECONDARY,NONE,11,0.82,14
4,Gabriel dos Santos Magalhães,Gabriel,Arsenal,DEF,8.0,0.95,80.75,5.29,5,0.47,0.43,0.17,0.06,0.04,0.32,0.42,0.85,NONE,NONE,5,0.66,15
398,Phil Foden,Foden,Man City,MID,7.0,0.95,80.75,5.29,5,0.47,0.43,0.17,0.06,0.42,0.32,0.0,0.35,SECONDARY,NONE,1,0.76,16
586,Nobel Mendy,Mendy,Hull City,DEF,4.0,0.95,80.75,5.11,5,0.45,0.41,0.16,0.06,0.04,0.31,0.28,0.85,NONE,NONE,15,1.28,17
426,Bruno Borges Fernandes,B.Fernandes,Man Utd,MID,12.0,0.95,80.75,5.06,5,0.44,0.41,0.16,0.06,0.4,0.3,0.0,0.35,SECONDARY,NONE,2,0.42,18
399,Rayan Cherki,Cherki,Man City,MID,7.5,0.95,80.75,4.96,5,0.43,0.4,0.16,0.06,0.4,0.3,0.0,0.35,SECONDARY,NONE,8,0.66,19
40,Morgan Rogers,Rogers,Chelsea,MID,7.5,0.95,80.75,4.96,5,0.43,0.4,0.16,0.06,0.4,0.3,0.0,0.35,SECONDARY,NONE,8,0.66,20
68,Marcus Tavernier,Tavernier,Bournemouth,MID,6.0,0.95,80.75,4.93,5,0.43,0.39,0.16,0.06,0.39,0.3,0.0,0.35,SECONDARY,NONE,10,0.82,21
279,Semi Ajayi,Ajayi,Hull City,DEF,4.0,0.95,80.75,4.88,5,0.42,0.39,0.16,0.06,0.04,0.29,0.28,0.85,NONE,NONE,14,1.22,22
55,Ollie Watkins,Watkins,Aston Villa,FWD,7.9,0.95,80.75,4.85,5,0.42,0.38,0.15,0.06,0.39,0.03,0.0,0.35,NONE,NONE,0,0.61,23
88,Michael Kayode,Kayode,Brentford,DEF,4.6,0.95,80.75,4.79,5,0.41,0.38,0.15,0.06,0.04,0.29,0.28,0.85,NONE,NONE,13,1.04,24
368,Dominik Szoboszlai,Szoboszlai,Liverpool,MID,7.0,0.95,80.75,4.79,5,0.41,0.38,0.15,0.06,0.38,0.29,0.0,0.35,SECONDARY,NONE,8,0.68,25
86,Keane Lewis-Potter,Lewis-Potter,Brentford,MID,5.5,0.95,80.75,4.76,5,0.41,0.38,0.15,0.06,0.38,0.29,0.0,0.35,SECONDARY,NONE,10,0.87,26
454,Anthony Elanga,Elanga,Newcastle,MID,6.0,0.95,80.75,4.69,5,0.4,0.37,0.15,0.06,0.38,0.28,0.0,0.35,SECONDARY,NONE,9,0.78,27
237,Iliman Ndiaye,Ndiaye,Everton,MID,6.0,0.95,80.75,4.69,5,0.4,0.37,0.15,0.06,0.38,0.28,0.0,0.35,SECONDARY,NONE,9,0.78,28
10,Benjamin White,White,Arsenal,DEF,5.5,0.95,80.75,4.56,5,0.38,0.36,0.14,0.05,0.04,0.27,0.42,0.85,NONE,NONE,11,0.83,29
544,Granit Xhaka,Xhaka,Sunderland,MID,5.5,0.95,80.75,4.53,5,0.38,0.35,0.14,0.05,0.36,0.27,0.0,0.35,SECONDARY,NONE,9,0.82,30
