team,title_pct,top4_pct,top6_pct,relegation_pct,exp_points,exp_position,med_points,p10_points,p90_points,se_title,ci_title_low,ci_title_high,expected_rank
Man City,45.0,97.99,99.81,0.0,81.6,1.88,82,73,91,0.5,44.02,45.98,1
Arsenal,37.5,97.27,99.63,0.0,80.5,2.04,81,71,89,0.48,36.55,38.45,2
Liverpool,15.53,90.85,98.1,0.0,75.9,2.81,76,67,85,0.36,14.82,16.24,3
Chelsea,0.94,38.5,72.03,0.0,64.4,5.52,64,55,74,0.1,0.75,1.13,4
Newcastle,0.5,23.48,58.28,0.02,61.5,6.43,62,52,71,0.07,0.36,0.64,5
Spurs,0.25,19.77,51.78,0.01,60.5,6.76,60,51,70,0.05,0.15,0.35,6
Aston Villa,0.17,14.96,44.23,0.08,59.1,7.27,59,49,69,0.04,0.09,0.25,7
Man Utd,0.09,10.21,34.83,0.22,57.2,7.95,57,47,67,0.03,0.03,0.15,8
Brighton,0.02,3.06,14.67,0.9,52.3,9.89,52,43,62,0.01,0.0,0.05,9
Fulham,0.0,1.14,7.14,2.49,49.2,11.19,49,40,59,0.0,0.0,0.0,10
Bournemouth,0.0,1.01,5.75,3.43,48.2,11.66,48,39,58,0.0,0.0,0.0,11
Crystal Palace,0.0,0.7,5.1,4.23,47.6,11.91,48,38,57,0.0,0.0,0.0,12
Brentford,0.0,0.65,4.79,4.24,47.4,11.97,47,38,57,0.0,0.0,0.0,13
Everton,0.0,0.24,1.94,8.69,44.5,13.26,44,35,54,0.0,0.0,0.0,14
Nott'm Forest,0.0,0.13,1.48,12.8,42.9,13.91,43,33,53,0.0,0.0,0.0,15
Leeds,0.0,0.03,0.2,26.92,38.9,15.57,39,30,48,0.0,0.0,0.0,16
Ipswich Town,0.0,0.01,0.12,39.28,36.7,16.4,36,28,46,0.0,0.0,0.0,17
Sunderland,0.0,0.0,0.11,53.23,34.4,17.19,34,25,43,0.0,0.0,0.0,18
Coventry City,0.0,0.0,0.01,65.36,32.2,17.86,32,24,41,0.0,0.0,0.0,19
Hull City,0.0,0.0,0.0,78.1,29.9,18.53,30,21,39,0.0,0.0,0.0,20
