player,pos,gw1_xp,official_actual,error,status,captain_status
Konstantinos Tzolakis,GK,4.6,8,3.4,STARTING_XI,-
Benjamin White,DEF,5.3,6,0.7,STARTING_XI,-
Maxim De Cuyper,DEF,5.8,7,1.2,STARTING_XI,-
Michael Kayode,DEF,4.8,6,1.2,STARTING_XI,-
Bukayo Saka,MID,7.4,8,0.6,STARTING_XI,VICE_CAPTAIN
Cole Palmer,MID,7.6,5,-2.6,STARTING_XI,-
Cody Gakpo,MID,6.5,6,-0.5,STARTING_XI,-
Anton Stach,MID,5.1,4,-1.1,STARTING_XI,-
Erling Haaland,FWD,8.1,13,4.9,STARTING_XI,CAPTAIN (26 pts effective)
Alexander Isak,FWD,7.2,6,-1.2,STARTING_XI,-
Evanilson,FWD,4.5,2,-2.5,STARTING_XI,-
Mamadou Sangaré,MID,4.9,3,-1.9,BENCH_1,-
Antonee Robinson,DEF,4.3,2,-2.3,BENCH_2,-
Nobel Mendy,DEF,4.2,1,-3.2,BENCH_3,-
Jason Steele,GK,0.15,0,-0.15,BENCH_4,-
